date,inkabet-Amazonas,isPartial,inkabet-Apurímac,inkabet-Arequipa,inkabet-Ayacucho,inkabet-Cajamarca,inkabet-Callao,inkabet-Cuzco,inkabet-Departamento de Lima,inkabet-Huancavelica,inkabet-Huánuco,inkabet-Ica,inkabet-Junín,inkabet-La Libertad,inkabet-Lambayeque,inkabet-Loreto,inkabet-Madre de Dios,inkabet-Moquegua,inkabet-Pasco,inkabet-Piura,inkabet-Puno,inkabet-San Martín,inkabet-Tacna,inkabet-Tumbes,inkabet-Ucayali,inkabet-Áncash
2020-06-14,0,False,0,7,0,0,11,0,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,False,0,8,0,0,17,0,0,0,0,0,0,18,0,0,0,0,0,14,0,0,0,0,0,0
2020-06-28,0,False,0,10,0,0,19,24,0,0,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0,0
2020-07-05,0,False,0,8,0,0,17,20,0,0,0,15,0,14,21,0,0,0,0,10,0,0,0,0,0,0
2020-07-12,0,False,0,9,0,0,20,0,15,0,0,0,0,16,0,0,0,0,0,11,0,0,0,0,0,0
2020-07-19,0,False,0,8,0,0,17,0,0,0,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0,0
2020-07-26,0,False,0,11,0,0,20,0,23,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-02,0,False,0,11,0,0,15,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0
2020-08-09,0,False,0,21,82,0,27,0,18,0,0,18,0,14,14,0,0,0,0,13,0,0,0,0,0,0
2020-08-16,0,False,0,20,0,0,33,26,0,0,0,27,21,22,26,43,0,0,0,23,0,0,0,0,0,19
2020-08-23,0,False,0,24,0,0,31,34,23,0,0,26,20,27,23,55,0,0,0,29,0,0,0,0,0,19
2020-08-30,0,False,0,14,0,0,26,25,0,0,25,20,0,15,0,0,0,0,0,17,0,0,0,0,0,0
2020-09-06,0,False,0,16,0,0,25,0,11,0,0,19,0,13,0,0,0,0,0,8,0,0,0,0,0,0
2020-09-13,0,False,60,14,0,0,33,20,16,0,0,20,21,20,19,0,0,0,0,17,0,0,0,0,0,19
2020-09-20,0,False,0,23,38,18,40,0,17,0,33,20,0,27,17,0,0,0,0,21,0,0,0,0,0,17
2020-09-27,0,False,0,14,0,0,40,0,24,0,0,15,26,19,22,0,0,0,0,14,0,0,0,0,0,0
2020-10-04,0,False,0,18,0,20,39,22,13,0,0,19,0,25,18,51,0,0,0,25,0,0,0,0,0,22
2020-10-11,0,False,0,13,0,19,37,42,14,0,0,26,27,19,22,0,0,0,0,15,0,0,0,0,0,18
2020-10-18,0,False,0,16,0,25,25,0,17,0,0,22,22,19,16,0,0,0,0,23,0,0,65,0,0,37
2020-10-25,0,False,0,14,0,0,32,0,20,0,0,18,0,27,0,0,0,0,0,12,0,0,0,0,0,35
2020-11-01,0,False,0,18,0,40,36,0,15,0,0,20,21,24,21,0,0,0,0,19,0,0,0,0,0,24
2020-11-08,0,False,0,23,0,25,39,0,13,0,0,30,53,25,14,0,0,0,0,22,0,0,0,0,0,0
2020-11-15,0,False,0,24,0,32,34,30,13,0,0,25,0,26,0,0,0,0,0,13,0,0,0,0,0,17
2020-11-22,0,False,0,20,0,24,29,0,18,0,0,20,23,23,17,0,0,0,0,14,0,0,0,0,0,22
2020-11-29,0,False,0,18,0,0,21,19,14,0,0,31,0,17,0,0,0,0,0,0,0,0,0,0,0,21
2020-12-06,0,False,0,15,0,0,21,0,0,0,0,17,0,23,0,0,0,0,0,0,0,0,0,0,0,16
2020-12-13,0,False,88,13,0,0,24,0,23,0,0,0,0,18,0,0,0,0,0,10,0,0,0,0,0,23
2020-12-20,0,False,0,0,0,0,14,0,0,0,0,26,0,15,26,0,0,0,0,0,0,0,0,0,0,0
2020-12-27,0,False,0,11,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,22
2021-01-03,0,False,0,13,0,0,22,0,27,0,0,20,0,17,0,0,0,0,0,13,0,0,0,0,0,0
2021-01-10,0,False,0,10,0,0,15,0,21,0,0,0,0,17,0,0,0,0,0,13,0,0,0,0,0,22
2021-01-17,0,False,0,13,0,27,23,0,0,0,0,0,0,13,0,0,0,0,0,23,0,0,0,0,61,19
2021-01-24,0,False,0,0,0,0,31,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,0,False,99,17,0,0,30,0,13,0,0,25,0,15,0,0,0,0,0,14,0,0,0,0,0,0
2021-02-07,0,False,0,20,0,0,20,0,19,0,0,0,31,12,0,0,0,0,0,13,0,0,0,0,0,0
2021-02-14,0,False,0,18,0,28,23,0,20,0,0,20,0,19,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-21,0,False,0,14,0,32,36,0,18,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,0,False,0,17,49,0,24,0,0,0,32,0,0,18,0,0,0,0,0,0,0,54,0,0,0,25
2021-03-07,0,False,0,24,0,33,29,0,21,0,0,19,24,21,0,0,0,0,0,0,0,0,0,0,0,18
2021-03-14,0,False,0,20,0,24,27,0,24,0,0,19,24,25,20,0,0,0,0,15,0,0,0,0,0,18
2021-03-21,0,False,0,17,0,0,23,0,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,17
2021-03-28,0,False,0,17,0,23,19,37,24,0,0,16,0,17,17,0,0,0,0,13,0,0,0,0,0,18
2021-04-04,0,False,0,19,0,23,26,0,27,0,0,14,27,15,0,0,0,0,0,18,0,0,47,0,0,0
2021-04-11,0,False,0,18,0,0,34,0,21,0,0,28,0,23,28,0,0,0,0,19,0,42,0,0,0,19
2021-04-18,0,False,0,18,0,23,29,17,24,0,0,17,17,24,25,0,0,0,0,13,0,0,0,0,0,20
2021-04-25,0,False,0,18,36,20,30,0,36,0,0,26,25,22,0,35,0,0,0,15,0,0,0,0,0,29
2021-05-02,0,False,0,23,0,16,36,0,27,0,0,19,18,23,15,0,0,0,0,14,36,44,0,0,0,29
2021-05-09,0,False,0,21,0,18,36,19,17,0,27,20,29,25,15,0,0,0,0,16,0,0,50,0,0,18
2021-05-16,0,False,0,27,0,29,30,25,33,0,39,22,0,32,21,0,0,0,0,23,0,0,0,0,0,22
2021-05-23,0,False,0,17,0,0,30,0,24,0,0,24,0,28,21,0,0,0,0,15,0,0,0,0,0,35
2021-05-30,0,False,0,22,0,0,26,0,23,0,29,24,22,22,20,0,0,0,0,18,0,0,0,0,0,22
2021-06-06,0,False,0,15,0,28,27,29,29,0,24,20,16,25,21,0,0,0,0,13,0,0,0,0,0,24
2021-06-13,0,False,0,35,0,29,48,44,37,0,30,31,42,37,31,34,0,0,0,32,0,0,0,0,0,37
2021-06-20,0,False,0,42,0,24,45,34,28,0,46,34,24,38,43,0,0,0,0,29,31,0,0,0,0,28
2021-06-27,100,False,0,43,0,50,52,37,38,0,42,40,40,36,41,44,0,56,0,36,41,0,0,0,45,51
2021-07-04,0,False,0,36,0,39,53,25,29,0,56,37,33,42,21,0,0,0,0,26,0,0,58,0,0,44
2021-07-11,0,False,0,24,0,25,38,36,12,0,0,28,19,20,32,0,0,0,0,16,0,0,0,0,0,0
2021-07-18,0,False,0,27,0,0,42,29,28,0,0,40,24,22,19,0,0,0,0,21,0,0,0,0,0,16
2021-07-25,0,False,0,24,0,0,36,29,15,0,0,40,0,18,22,0,0,0,0,22,0,0,0,0,0,0
2021-08-01,0,False,0,30,0,24,30,22,21,0,0,36,27,27,0,0,0,0,0,25,0,0,0,0,0,20
2021-08-08,0,False,0,24,40,0,51,24,19,0,28,18,0,24,21,0,0,0,0,18,0,0,0,0,0,21
2021-08-15,0,False,0,22,0,0,53,0,24,0,28,35,25,20,15,40,0,0,0,25,0,0,0,0,88,17
2021-08-22,0,False,0,27,0,0,34,0,21,0,0,24,22,24,23,0,0,0,0,23,0,0,0,0,0,27
2021-08-29,0,False,0,35,0,21,47,0,25,0,0,28,0,30,21,0,0,0,0,19,0,0,0,0,69,23
2021-09-05,0,False,0,34,41,26,39,0,29,0,33,37,22,35,22,0,0,0,0,24,0,0,78,0,0,33
2021-09-12,0,False,0,28,0,33,57,22,36,0,35,51,29,35,33,0,0,0,0,14,0,0,0,0,0,28
2021-09-19,0,False,0,25,0,32,48,0,33,0,38,42,30,27,18,0,0,0,0,0,0,51,0,0,0,0
2021-09-26,0,False,0,35,0,25,53,22,27,0,54,19,0,30,31,0,0,0,0,19,0,0,58,0,0,19
2021-10-03,0,False,0,32,51,26,61,24,37,0,0,38,33,33,25,0,0,0,0,41,0,0,0,0,0,48
2021-10-10,0,False,0,49,0,42,71,52,64,0,50,69,40,77,36,0,0,0,0,43,0,0,0,0,0,65
2021-10-17,0,False,0,34,0,40,75,50,38,0,83,46,32,45,21,43,0,0,0,40,0,0,0,0,0,40
2021-10-24,0,False,0,30,0,58,47,38,36,0,0,27,24,47,35,0,0,0,0,34,0,0,0,0,0,39
2021-10-31,0,False,0,30,0,41,53,38,38,0,0,39,36,38,29,53,0,0,0,26,0,0,75,0,0,35
2021-11-07,0,False,0,31,0,36,45,48,34,0,0,31,30,37,32,0,0,55,0,27,0,0,0,0,75,48
2021-11-14,0,False,72,31,0,40,52,35,47,0,0,30,28,45,19,66,0,55,0,33,0,55,0,100,0,36
2021-11-21,58,False,76,27,43,34,62,39,38,0,0,34,37,55,22,43,0,0,0,37,0,0,53,0,0,44
2021-11-28,0,False,0,31,0,25,49,0,23,0,0,50,28,33,25,53,0,0,0,21,41,0,0,0,0,31
2021-12-05,0,False,0,31,0,35,54,37,45,0,0,39,28,47,31,0,0,0,0,34,0,79,0,0,52,47
2021-12-12,0,False,0,18,0,40,46,0,41,0,0,29,22,46,24,49,0,62,0,22,0,0,0,0,0,37
2021-12-19,0,False,0,18,0,0,36,55,37,0,0,22,0,31,0,0,0,0,0,19,0,0,0,0,0,29
2021-12-26,0,False,0,22,0,48,32,27,16,0,0,26,0,31,0,0,0,0,0,19,0,0,0,0,0,23
2022-01-02,0,False,0,16,0,41,33,0,23,0,29,19,0,28,29,0,0,0,0,29,0,0,0,0,0,33
2022-01-09,0,False,0,16,0,67,20,23,16,47,45,25,32,40,19,0,0,85,0,28,32,0,0,0,0,0
2022-01-16,0,False,0,26,40,46,37,22,27,0,87,27,35,22,39,0,0,0,0,20,0,0,0,0,0,21
2022-01-23,0,False,0,37,0,49,38,30,49,0,62,45,34,58,43,0,76,0,0,35,0,0,57,0,0,26
2022-01-30,0,False,63,64,38,90,82,80,65,0,100,68,69,77,79,93,0,79,36,76,28,76,81,0,67,65
2022-02-06,0,False,0,28,0,72,34,37,23,0,36,36,32,39,57,56,0,49,0,30,0,0,0,0,0,37
2022-02-13,0,False,0,38,22,72,47,34,38,0,41,33,41,48,49,35,0,70,31,25,41,70,50,0,0,38
2022-02-20,0,False,0,25,22,62,43,33,32,0,34,27,35,48,38,25,0,100,0,24,47,33,40,0,0,44
2022-02-27,0,False,0,22,0,73,34,25,29,0,28,26,22,44,29,0,0,61,0,20,25,0,54,0,0,53
2022-03-06,0,False,0,31,24,43,34,35,25,0,42,38,32,48,30,29,0,61,0,37,23,39,0,70,0,49
2022-03-13,0,False,55,27,22,54,36,38,22,0,23,46,24,42,20,35,0,49,0,31,0,30,0,0,0,24
2022-03-20,0,False,38,42,20,45,59,39,43,0,40,58,34,63,42,34,0,32,0,46,26,38,44,0,30,45
2022-03-27,0,False,35,34,19,56,56,49,37,0,34,57,37,58,45,31,0,47,0,39,37,43,35,0,45,40
2022-04-03,0,False,49,30,19,46,48,29,39,26,22,40,39,51,34,0,0,39,0,31,22,34,49,0,32,37
2022-04-10,0,False,78,32,39,48,51,29,42,0,33,56,33,52,41,46,0,0,0,36,29,45,44,0,52,40
2022-04-17,0,False,0,29,37,32,42,28,34,0,26,45,29,41,20,39,0,0,0,37,0,26,0,0,53,43
2022-04-24,0,False,0,28,27,27,43,32,32,0,33,38,35,44,27,0,0,0,0,35,0,30,46,0,40,48
2022-05-01,0,False,0,33,52,53,55,41,51,0,51,53,38,51,37,36,0,0,0,46,0,27,0,0,36,30
2022-05-08,0,False,38,29,25,36,49,22,36,0,47,42,32,50,22,0,0,0,0,40,24,0,51,0,0,35
2022-05-15,0,False,88,29,24,42,40,33,36,0,46,32,34,43,28,0,0,0,0,30,22,39,0,0,0,31
2022-05-22,0,False,86,39,21,38,52,45,37,0,33,45,34,42,42,36,0,0,0,36,32,40,0,0,39,34
2022-05-29,0,False,65,35,22,42,63,40,39,0,46,45,31,57,41,44,0,43,0,42,25,74,39,0,40,26
2022-06-05,0,False,60,45,39,63,65,50,61,0,44,53,41,69,46,57,0,49,0,46,32,51,45,54,61,33
2022-06-12,0,False,52,45,22,50,57,51,45,0,39,47,34,58,42,31,0,43,0,42,33,34,0,0,38,44
2022-06-19,0,False,0,23,22,24,35,16,26,31,20,26,14,30,29,0,0,0,0,17,0,32,0,0,0,36
2022-06-26,0,False,0,23,22,27,29,22,25,0,25,24,20,30,19,30,0,0,0,13,0,0,55,0,0,30
2022-07-03,0,False,46,26,0,19,29,22,29,0,26,21,22,32,26,0,0,61,0,15,26,0,0,0,0,30
2022-07-10,0,False,0,25,0,21,30,19,16,0,22,23,21,25,24,0,0,0,0,19,0,0,0,0,0,37
2022-07-17,0,False,0,22,0,18,39,0,16,0,28,33,15,24,26,26,0,0,0,18,21,0,0,0,38,32
2022-07-24,0,False,0,26,0,28,55,14,25,0,38,38,41,41,31,44,0,0,0,36,0,42,0,0,0,24
2022-07-31,0,False,54,28,31,16,44,27,28,0,25,36,20,35,37,42,0,0,0,33,0,43,0,0,40,33
2022-08-07,0,False,0,25,21,22,40,32,26,0,29,31,26,36,30,0,0,0,0,36,33,35,0,0,0,30
2022-08-14,0,False,0,17,21,30,38,30,33,0,20,34,15,37,19,28,0,46,0,34,26,37,0,0,0,23
2022-08-21,0,False,0,24,0,35,39,19,29,0,18,35,24,36,30,35,0,55,0,31,33,36,0,0,40,22
2022-08-28,36,False,0,27,23,30,47,27,30,0,0,35,27,40,20,0,0,47,0,39,0,28,53,0,0,34
2022-09-04,0,False,0,34,0,38,53,45,44,0,22,49,27,36,36,24,0,47,0,37,31,27,36,0,0,33
2022-09-11,0,False,0,30,23,35,45,30,37,0,27,50,17,46,31,31,0,45,0,35,0,38,43,0,0,28
2022-09-18,0,False,0,27,24,31,45,29,37,0,34,41,15,39,35,0,0,54,0,37,39,0,0,0,43,27
2022-09-25,0,False,0,29,25,34,43,22,37,0,23,39,27,35,31,31,0,0,0,34,0,0,0,0,0,25
2022-10-02,0,False,38,27,22,19,40,32,30,0,19,48,24,38,34,0,0,0,0,31,0,0,41,0,63,28
2022-10-09,0,False,0,32,0,30,33,37,42,40,0,52,33,39,40,0,0,0,0,49,0,34,0,0,0,33
2022-10-16,0,False,0,33,29,22,35,26,50,0,26,63,30,43,38,27,0,40,0,25,20,0,0,0,36,17
2022-10-23,0,False,0,31,22,33,38,22,42,0,17,48,29,48,29,0,0,38,0,39,0,42,0,0,40,23
2022-10-30,0,False,0,25,0,39,47,15,37,0,39,45,15,33,32,0,0,0,0,39,0,0,0,0,0,26
2022-11-06,0,False,55,36,0,32,47,25,38,0,39,47,17,40,34,32,0,0,16,34,36,0,47,0,49,33
2022-11-13,0,False,0,25,39,40,42,32,42,27,23,44,28,30,40,37,0,0,0,35,0,36,0,0,46,28
2022-11-20,59,False,100,100,100,93,98,94,100,43,64,87,100,98,100,100,100,90,37,90,100,100,79,0,56,100
2022-11-27,41,False,95,92,90,100,100,100,93,31,53,100,98,100,88,82,85,93,24,100,91,82,93,66,80,86
2022-12-04,0,False,51,76,57,60,100,73,85,28,55,77,98,85,67,54,0,94,26,78,77,86,56,54,100,79
2022-12-11,0,False,53,39,29,48,59,66,49,27,42,51,70,58,56,51,67,0,0,53,33,41,39,64,54,49
2022-12-18,0,False,0,38,0,34,50,50,46,0,24,53,47,51,33,30,0,0,0,42,33,0,0,0,0,46
2022-12-25,0,False,0,30,0,39,36,31,39,0,0,40,38,40,30,0,0,0,0,33,0,0,0,0,0,28
2023-01-01,0,False,55,31,0,31,25,30,38,0,0,41,18,34,29,0,0,0,0,27,28,0,0,0,0,38
2023-01-08,0,False,0,23,0,32,27,34,38,0,0,13,18,30,27,0,0,0,0,29,28,0,0,0,0,29
2023-01-15,0,False,0,27,0,30,28,18,32,0,0,21,22,46,39,0,0,0,0,24,0,0,0,0,0,21
2023-01-22,0,False,0,24,0,26,27,24,43,0,0,35,22,36,33,0,0,0,0,22,0,0,0,0,0,25
2023-01-29,0,False,0,21,0,34,35,20,33,0,0,23,18,36,25,0,0,0,0,23,28,0,0,0,0,21
2023-02-05,0,False,0,20,0,27,24,28,22,0,0,32,17,28,36,0,0,0,0,22,0,39,0,0,0,27
2023-02-12,0,False,0,31,28,31,37,46,27,0,21,36,28,29,34,0,0,0,0,26,0,0,0,0,0,27
2023-02-19,0,False,0,34,24,31,40,42,42,0,34,44,20,47,25,44,0,0,0,33,27,0,0,0,0,37
2023-02-26,0,False,0,25,28,28,32,34,42,0,0,53,27,38,32,0,0,0,0,30,29,0,0,0,0,38
2023-03-05,0,False,0,31,0,33,38,38,49,0,0,43,39,35,33,56,0,0,0,24,0,32,0,0,0,27
2023-03-12,0,False,0,27,26,39,31,41,40,0,27,49,25,37,35,0,0,0,0,24,33,40,0,0,0,27
2023-03-19,0,False,0,24,33,40,38,35,38,0,0,48,27,29,24,43,0,0,0,20,0,46,0,0,0,29
2023-03-26,0,False,0,25,25,31,39,16,39,25,26,43,25,28,18,33,0,42,0,24,0,0,0,0,0,26
2023-04-02,0,False,0,26,0,43,37,25,35,0,24,22,25,38,23,40,0,0,0,23,0,47,0,0,0,35
2023-04-09,0,False,0,22,26,33,32,26,35,0,24,24,26,31,21,31,0,0,0,22,0,0,0,0,32,26
2023-04-16,0,False,53,22,21,27,38,33,29,0,28,44,25,29,41,47,0,0,0,16,0,0,0,0,33,29
2023-04-23,0,False,0,20,0,26,33,35,30,0,0,24,35,28,28,24,0,0,0,23,0,35,0,0,0,26
2023-04-30,0,False,0,21,38,27,42,34,32,0,0,40,35,35,34,29,0,0,0,23,0,41,0,0,0,22
2023-05-07,0,False,44,25,29,35,35,27,34,0,21,44,31,34,32,47,56,0,0,21,0,47,0,0,0,20
2023-05-14,0,False,64,28,29,37,37,32,26,0,22,36,11,33,19,46,0,0,0,23,0,53,0,0,0,33
2023-05-21,0,False,0,21,26,21,29,25,31,0,0,25,25,32,19,28,0,0,0,17,0,28,0,0,0,31
2023-05-28,0,False,0,17,0,22,27,23,22,0,18,35,23,19,12,31,0,0,19,12,0,0,0,0,0,20
2023-06-04,0,False,0,26,20,23,31,20,30,0,24,38,28,29,24,55,0,0,0,18,0,63,0,0,0,24
2023-06-11,0,False,0,22,22,22,19,23,19,0,0,18,19,25,20,0,0,0,0,7,0,34,0,0,0,25
2023-06-18,0,False,46,18,32,18,22,28,20,0,19,17,18,26,17,0,0,0,0,22,0,0,36,0,0,24
2023-06-25,0,False,0,16,0,18,21,23,28,0,0,19,17,22,24,0,0,0,0,17,0,0,0,0,0,24
2023-07-02,0,False,0,11,0,24,23,16,19,0,0,22,21,19,16,0,0,0,0,13,0,0,0,0,0,26
2023-07-09,0,False,0,12,0,25,23,19,22,0,0,29,22,22,19,0,0,0,0,12,0,0,0,0,0,22
2023-07-16,0,False,0,16,0,12,24,25,28,0,0,22,0,25,16,0,0,0,0,18,0,0,0,0,0,16
2023-07-23,0,False,0,19,40,23,30,18,24,0,0,21,22,23,21,32,0,0,0,9,0,0,43,0,0,38
2023-07-30,0,False,0,22,0,13,29,24,14,0,27,29,22,19,19,0,0,0,0,14,0,0,0,0,0,22
2023-08-06,0,False,0,17,0,27,30,15,21,0,26,20,31,19,20,42,0,0,0,13,0,0,0,0,0,24
2023-08-13,0,False,0,19,0,14,26,19,19,0,19,31,22,24,11,0,0,0,0,16,0,33,0,0,0,26
2023-08-20,0,False,0,19,0,17,27,17,22,0,18,24,13,29,19,34,0,0,0,16,0,0,0,0,0,23
2023-08-27,0,False,60,20,0,14,21,25,25,0,20,30,12,23,14,35,0,0,24,13,25,0,0,0,0,26
2023-09-03,0,False,0,31,0,16,29,32,43,0,17,34,32,32,31,26,0,0,0,16,0,0,0,0,0,28
2023-09-10,0,False,0,31,0,30,35,33,41,0,23,35,33,37,29,0,0,0,0,28,42,0,41,0,0,30
2023-09-17,0,False,0,24,0,26,37,36,43,0,18,35,29,34,17,32,0,0,0,21,0,0,0,0,35,34
2023-09-24,0,False,0,31,26,20,32,19,42,0,22,31,20,31,21,43,0,0,0,18,24,31,0,0,57,37
2023-10-01,0,False,0,27,26,20,31,18,27,0,19,24,26,28,20,48,0,0,0,27,0,0,0,0,0,32
2023-10-08,0,False,49,23,0,30,31,28,31,0,25,29,25,33,21,0,0,0,0,18,25,0,0,0,0,31
2023-10-15,0,False,0,30,0,11,33,18,35,0,27,31,15,36,26,33,0,0,0,30,25,0,46,0,0,31
2023-10-22,0,False,0,25,0,23,29,27,36,0,23,22,23,24,21,37,0,0,0,26,0,0,0,0,0,32
2023-10-29,0,False,0,22,40,23,19,15,30,0,21,26,17,30,24,0,0,0,0,23,0,0,0,0,0,34
2023-11-05,0,False,64,20,0,35,28,35,30,0,0,22,30,28,28,38,0,0,0,22,0,0,0,0,0,32
2023-11-12,29,False,0,19,0,35,22,26,23,0,0,23,26,17,25,0,0,0,0,20,25,0,0,0,0,28
2023-11-19,0,False,0,23,0,24,26,22,26,0,26,21,26,22,22,0,0,0,0,16,0,0,0,0,0,22
2023-11-26,0,False,0,19,0,21,16,16,21,0,27,26,14,24,21,0,0,0,0,16,0,0,0,0,0,23
2023-12-03,0,False,0,15,0,30,23,20,25,0,20,21,17,26,18,0,0,0,0,11,0,0,0,0,39,20
